theoretical,observed,num_files,simulated_seq_length
0.01,0.0013333333333333335,10,300
0.02,0.004333333333333333,10,300
0.03,0.006666666666666666,10,300
0.04,0.009666666666666667,10,300
0.05,0.013000000000000001,10,300
0.06,0.01566666666666667,10,300
0.07,0.018333333333333333,10,300
0.08,0.02066666666666667,10,300
0.09,0.02266666666666667,10,300
0.1,0.025666666666666664,10,300
0.2,0.06066666666666667,10,300
0.3,0.09333333333333335,10,300
0.4,0.12533333333333335,10,300
0.5,0.16233333333333333,10,300
