theoretical,observed,num_files,simulated_seq_length
0.01,0.0017391304347826085,69,300
0.02,0.004106280193236715,69,300
0.03,0.006135265700483092,69,300
0.04,0.00893719806763285,69,300
0.05,0.011449275362318842,69,300
0.06,0.013623188405797104,69,300
0.07,0.01603864734299517,69,300
0.08,0.018454106280193238,69,300
0.09,0.02077294685990338,69,300
0.1,0.023285024154589374,69,300
0.2,0.048550724637681154,69,300
0.3,0.07391304347826085,69,300
0.4,0.1026086956521739,69,300
0.5,0.13241545893719808,69,300
