Simulation,seqs,sites,L,MaxL,delta,psi_syn,psi,p21,p31,p32,p3i3,i32,LRT21,LRT32,LRT32,LRT3i3,LRT32
empirical_sims/sims-adh,23,254,1.2774991165860903,0.178286917442075,0.0,0.7355933451875097,0.7355933451875097,6.532840719830624e-06,6.248446204892844e-12,1.619469321978428e-07,2.243548280489449e-08,0.9813897176180432,20.32537575784409,51.59737002735528,31.2719942695112,31.27145013713016,0.0005441323810373433
empirical_sims/sims-adh,23,254,1.256388275272122,0.1792235422943791,0.0,0.0,0.0,0.9420855733349321,0.9970519401378654,0.9996865610032577,1,0.9680658963489528,0.005277851641949383,0.005904827899939846,0.0006269762579904636,-0.0009757573097886052,0.001602733567779069
empirical_sims/sims-adh,23,254,1.3445668950181733,0.1539719591105364,0.4011795226021622,0.9109141060409401,0.3442804711741117,1.306228458730629e-10,2.713602675896709e-10,0.2520878022878366,0.09682557869047714,1,41.2991920649456,44.05514772539391,2.755955660448308,2.757067440139508,-0.001111779691200354
empirical_sims/sims-adh,23,254,1.3177925321758759,0.2163643961095292,0.0,0.0,0.0,0.9626626289739508,0.9988440311894002,0.9999390716747406,1,0.9775790666171692,0.002191414552726201,0.002313274915650254,0.0001218603629240533,-0.0006679841208097059,0.0007898444837337593
empirical_sims/sims-adh,23,254,1.315852633148555,0.1605184046060223,0.0,0.0,0.0,0.9799626958703476,0.9990581983633232,0.9993733496268631,1,0.9641772276061368,0.0006307972198555944,0.001884490820884821,0.001253693601029227,-0.0007634194171259878,0.002017113018155214
empirical_sims/sims-adh,23,254,1.3309541207223816,0.17399073333262,0.0,0.0,0.0,0.8973957671259672,0.9918128517708785,1,1,1,0.01662857363407966,0.0164416939678631,-0.0001868796662165551,-0.0001740974439599086,-1.278222225664649e-05
empirical_sims/sims-adh,23,254,1.5299409826119115,0.1913129827615142,0.2624707956012503,0.5323547354276187,0.7720400129379797,5.377254197469483e-12,4.498401651176209e-12,0.09488475133913044,0.03018390883597255,0.9149808618138697,47.54439338274278,52.25457791811641,4.710184535373628,4.69878723619513,0.01139729917849763
empirical_sims/sims-adh,23,254,1.3553164834822302,0.1812000045253855,0.0,0.0,0.0,0.9844298602050894,0.9997049916033741,0.9998953812160294,1,0.9866770170936731,0.0003808553265116643,0.0005901038402953418,0.0002092485137836775,-6.959669372008648e-05,0.000278845207503764
empirical_sims/sims-adh,23,254,1.3374583202058785,0.1795831299980276,0.6942665478434102,0.0,0.0,0,1.110223024625157e-16,0.9999428397207166,1,0.988963666944041,74.52632139323578,74.52643571706176,0.0001143238259828649,-7.70123861002503e-05,0.0001913362120831152
empirical_sims/sims-adh,23,254,1.2711447642571838,0.1699491859929994,0.0,0.0,0.0,0.9606732226570239,0.9986500692272343,0.999864844273657,1,0.9829638670208627,0.002431355778753641,0.002701685500142048,0.0002703297213884071,-0.0001856315175245982,0.0004559612389130052
empirical_sims/sims-adh,23,254,1.281400090706272,0.1690746108322831,0.0,0.0,0.0,1,0.9997492875514729,0.9995178255594572,1,0.9705143739505435,-0.0004630936837202171,0.0005014877642679494,0.0009645814479881665,-0.000401694283937104,0.001366275731925271
empirical_sims/sims-adh,23,254,1.1815200418760732,0.1512736060843621,0.0,0.0,0.0,0.9429279254835359,0.9987961898376977,1,1,1,0.005125177219269972,0.002409070647445333,-0.002716106571824639,-0.0007908099332780694,-0.00192529663854657
empirical_sims/sims-adh,23,254,1.5253901313383944,0.2433430811346627,0.8579507073988092,0.0,0.0,0,0,0.9991110478752968,0.9629804664390527,1,127.915871526413,127.9176502213668,0.001778694953827653,0.002154237467038911,-0.0003755425132112578
empirical_sims/sims-adh,23,254,1.2491539264200489,0.1554772504793456,0.0,0.0,0.0,0.9863138102513435,0.9997027632419901,0.9998498590966732,1,0.9827525014855878,0.0002942575320048491,0.0005945618831901811,0.0003003043511853321,-0.0001670429755904479,0.0004673473267757799
empirical_sims/sims-adh,23,254,1.353888579198055,0.1840830445449907,0.0,0.0,0.0,0.9758634106238835,0.9993689959548835,0.9998265047587516,1,0.9807135813607217,0.0009153858372883406,0.001262406423848006,0.0003470205865596654,-0.0002373759762122063,0.0005843965627718717
empirical_sims/sims-adh,23,254,1.1937488603728075,0.1583159673720886,0.0,0.0,0.0,0.9809595310353497,0.9993173390767762,0.9996019770784598,1,0.9765772304322072,0.0005695837771781953,0.001365788084513042,0.0007962043073348468,-6.582325659110211e-05,0.0008620275639259489
empirical_sims/sims-adh,23,254,1.267206298446902,0.1548154590644679,0.0,0.0,0.0,0.1777742114497424,0.4032618233013915,0.9998974945245919,1,0.9836136925389549,1.81613346314407,1.816338484602966,0.0002050214588962262,-0.0002168140563298948,0.0004218355152261211
empirical_sims/sims-adh,23,254,1.5145353653938987,0.1922482320994763,0.5069868814914923,0.3603542075400134,0.3400510587589934,0,0,0.1447988850771287,0.5415793974176624,0.06165864434968393,109.0432192119915,112.9080382089851,3.864818996993563,0.3726203659371095,3.492198631056453
empirical_sims/sims-adh,23,254,1.3333580478659455,0.1730853721317814,0.0,0.0,0.0,0.9772383158907304,0.9991814769886527,0.9995882473152238,1,0.9765022511278514,0.0008140414120134665,0.001637716368350084,0.0008236749563366175,-4.388196248328313e-05,0.0008675569188199006
empirical_sims/sims-adh,23,254,1.261112306792422,0.1307907758088141,0.0,0.0,0.0,0.9334508693663092,0.7651232993191766,0.767795520098069,0.4707194931739891,0.9279473922346739,0.006972902809138759,0.535436565092823,0.5284636622836842,0.5202865040046163,0.008177158279067953
